f2,SOC_at_sigma_star,argmax_sigma
5,-1.1412953,0.13902256
7.8947368,-1.5409007,0.13804511
10.789474,-1.8983035,0.13706767
13.684211,-2.2157763,0.13511278
16.578947,-2.4998816,0.13315789
19.473684,-2.7566415,0.13120301
22.368421,-2.9909382,0.12924812
25.263158,-3.2065296,0.12827068
28.157895,-3.4063618,0.12631579
31.052632,-3.5926177,0.1243609
33.947368,-3.7672442,0.12338346
36.842105,-3.9316827,0.12240602
39.736842,-4.0871105,0.12142857
42.631579,-4.2346167,0.11947368
45.526316,-4.3749051,0.11849624
48.421053,-4.508769,0.1175188
51.315789,-4.636753,0.11654135
54.210526,-4.7594582,0.11556391
57.105263,-4.8772454,0.11556391
60,-4.990673,0.11458647
